food_item_name,calories_per_plate
Zesty Italian Salad,293
Glazed Vietnamese Curry,977
Sweet Chinese Lasagna,171
Spicy French Tacos,961
Zesty Italian Curry,921
Fresh French Dumplings,587
Glazed Spanish Salad,795
Sweet Brazilian Soup,476
Spicy Thai Lasagna,283
Steamed Vietnamese Sandwich,113
Rich French Risotto,790
Smoky Turkish Wrap,603
Crispy Greek Pizza,788
Spicy Middle Eastern Tacos,207
Steamed Japanese Waffle,505
Crispy Lebanese Wrap,548
Savory Chinese Sushi,635
Marinated Moroccan Pizza,774
Icy French Steak,792
Glazed French Grill,187
Zesty Mexican Biryani,222
Grilled Indian Pasta,246
Herbed Caribbean Biryani,504
Savory Thai Soup,510
Fresh Italian Steak,811
Crispy Japanese Lasagna,704
Crispy Greek Sandwich,204
Marinated Korean Salad,859
Marinated Vietnamese Risotto,272
Steamed Mexican Pancake,166
Herbed Middle Eastern Dumplings,472
Zesty Italian Pasta,303
Zesty Italian Pizza,446
Zesty Korean Grill,305
Smoky Mexican Curry,709
Roasted Middle Eastern Burger,964
Fried Mexican Risotto,513
Rich Japanese Sandwich,225
Zesty Turkish Sandwich,338
Fresh Greek Grill,958
Savory Lebanese Sushi,534
Roasted Korean Pasta,842
Smoky Chinese Risotto,611
food_item_name,calories_per_plate
Chatpata Dosa with Chutney,362
Tangy Dosa Traditional,612
Royal Dosa Deluxe,465
Royal Biryani Classic,624
Authentic Rogan Josh Express,421
Authentic Palak Paneer with Raita,272
Traditional Dal Makhani Traditional,242
Rustic Paratha with Chutney,311
Flavourful Pakora with Chutney,852
Authentic Kadhai Paneer Traditional,461
Homestyle Palak Paneer Traditional,871
Homestyle Butter Chicken Street Style,863
Flavourful Pulao Classic,767
Traditional Malai Kofta Special,191
Creamy Kadhai Paneer Traditional,370
Creamy Dal Makhani Street Style,485
Herbed Kadhai Paneer Street Style,301
Hearty Chole Bhature with Raita,243
Traditional Samosa Classic,878
Fiery Pulao Classic,404
Aromatic Paneer Tikka Traditional,514
Aromatic Pulao Fusion,555
Masaledar Rogan Josh Special,675
Flavourful Idli with Raita,200
Flavourful Paneer Tikka Special,843
Masaledar Pakora Deluxe,456
Flavourful Samosa Traditional,416
Tangy Aloo Gobi Special,328
Royal Paneer Tikka Extra Spicy,181
Tangy Chole Bhature Express,564
Royal Naan Classic,613
Zesty Samosa Traditional,719
Masaledar Butter Chicken Street Style,713
Traditional Pulao Special,405
Herbed Biryani with Chutney,246
Hearty Rogan Josh Fusion,623
Flavourful Samosa Street Style,254
Authentic Malai Kofta Classic,293
Homestyle Idli with Chutney,274
Flavourful Chole Bhature Extra Spicy,162
Savory Chole Bhature Special,213
Tangy Pakora Street Style,377
Rustic Naan Extra Spicy,283
Tangy Pani Puri Special,352
Spicy Korma with Raita,560
Hearty Paneer Tikka Express,531
Exquisite Pani Puri Traditional,852
Flavourful Vada with Raita,795
Savory Paratha Extra Spicy,810
Authentic Rogan Josh with Raita,236
Exquisite Biryani Special,746
Fiery Chole Bhature with Raita,750
Chatpata Naan Fusion,415
Exquisite Idli with Raita,226
Zesty Vada with Chutney,172
Traditional Dal Makhani Special,216
Delectable Paratha Traditional,352
Rich Naan Fusion,811
Savory Kadhai Paneer Traditional,604
Chatpata Pani Puri Express,281
Rustic Kadhai Paneer Express,244
Aromatic Pakora Traditional,489
Tangy Pulao with Raita,275
Exquisite Butter Chicken Express,193
Flavourful Dosa Fusion,622
Flavourful Biryani Street Style,201
Savory Dosa Street Style,322
Authentic Biryani Fusion,737
Herbed Samosa Street Style,593
Hearty Paneer Tikka Traditional,891
Homestyle Rogan Josh Fusion,554
Delectable Korma with Chutney,658
Hearty Malai Kofta Fusion,180
Homestyle Rogan Josh with Raita,541
Savory Idli Deluxe,849
Delectable Paratha with Raita,586
Authentic Malai Kofta Express,326
Zesty Vada Traditional,512
Delectable Samosa Extra Spicy,369
Hearty Naan with Raita,341
Royal Vada Extra Spicy,431
Royal Naan with Chutney,436
Delectable Pani Puri Traditional,606
Savory Pulao Extra Spicy,302
Delectable Vada with Chutney,185
Traditional Butter Chicken Express,778
Creamy Palak Paneer Traditional,784
Traditional Korma Deluxe,781
Rustic Dal Makhani Express,401
Savory Dal Makhani Fusion,812
Hearty Vada Deluxe,452
Spicy Chole Bhature Express,660
Masaledar Paneer Tikka Traditional,571
Chatpata Butter Chicken Extra Spicy,713
Royal Paneer Tikka Classic,640
Royal Korma with Chutney,212
Authentic Pakora Deluxe,239
Zesty Chole Bhature Street Style,436
Delectable Dal Makhani Street Style,542
Savory Dosa Express,290
Hearty Samosa Express,579
Homestyle Paratha with Raita,354
Chatpata Biryani Classic,808
Aromatic Pulao Extra Spicy,688
Zesty Pakora Traditional,405
Delectable Aloo Gobi Fusion,795
Spicy Kadhai Paneer with Raita,706
Traditional Rogan Josh Express,169
Spicy Korma Classic,541
Zesty Naan Fusion,880
Zesty Dosa Special,517
Rustic Palak Paneer Deluxe,641
Masaledar Rogan Josh with Chutney,707
Spicy Kadhai Paneer with Chutney,646
Traditional Paneer Tikka Street Style,502
Herbed Vada Street Style,729
Exquisite Naan Special,664
Masaledar Biryani with Chutney,479
Traditional Paneer Tikka Traditional,547
Chatpata Vada with Raita,426
Exquisite Paneer Tikka Deluxe,334
Tangy Biryani Express,176
Spicy Pulao Street Style,476
Royal Malai Kofta Express,761
Authentic Korma Classic,374
Rich Aloo Gobi with Chutney,180
Aromatic Butter Chicken Classic,437
Delectable Pakora Extra Spicy,209
Exquisite Butter Chicken Extra Spicy,633
Traditional Pakora Traditional,692
Royal Idli Special,516
Rustic Dosa Extra Spicy,748
Exquisite Pakora Traditional,388
Authentic Aloo Gobi Classic,313
Zesty Rogan Josh Express,252
Chatpata Idli with Chutney,403
Flavourful Chole Bhature with Chutney,822
Spicy Vada Deluxe,396
Spicy Pakora with Raita,422
Flavourful Malai Kofta Street Style,696
Fiery Biryani Street Style,207
Herbed Malai Kofta Express,374
Hearty Vada Extra Spicy,739
Royal Dal Makhani with Chutney,547
Fiery Pakora Express,513
Rich Korma Street Style,327
Spicy Samosa Express,330
Authentic Biryani with Raita,392
Zesty Samosa with Raita,756
Aromatic Korma Extra Spicy,475
Traditional Biryani Street Style,864
Flavourful Pulao with Chutney,517
Homestyle Kadhai Paneer with Raita,755
Chatpata Rogan Josh Traditional,178
Rich Malai Kofta Express,870
Delectable Kadhai Paneer Extra Spicy,867
Traditional Samosa Express,510
Aromatic Aloo Gobi Extra Spicy,731
Delectable Kadhai Paneer with Chutney,727
Authentic Samosa with Chutney,295
Masaledar Pulao Extra Spicy,726
Traditional Chole Bhature Special,342
Spicy Naan Traditional,654
Authentic Malai Kofta Fusion,705
Chatpata Malai Kofta Express,466
Flavourful Pani Puri with Raita,329
Flavourful Pakora Special,652
Authentic Dal Makhani Deluxe,188
Aromatic Idli Traditional,242
Royal Dal Makhani Deluxe,207
Chatpata Korma Special,388
Creamy Chole Bhature with Chutney,766
Flavourful Aloo Gobi with Raita,374
Delectable Biryani with Chutney,170
Spicy Malai Kofta Extra Spicy,689
Traditional Korma Traditional,639
Traditional Naan Deluxe,150
Zesty Dal Makhani Extra Spicy,489
Rustic Dal Makhani Classic,778
Royal Chole Bhature Classic,356
Homestyle Rogan Josh with Chutney,283
Exquisite Butter Chicken with Raita,498
Authentic Butter Chicken Classic,884
Delectable Palak Paneer Special,331
Homestyle Samosa Street Style,481
Herbed Pakora Extra Spicy,210
Savory Malai Kofta Fusion,172
Aromatic Pani Puri Classic,301
Herbed Malai Kofta with Chutney,750
Fiery Biryani Express,871
Fiery Dosa Deluxe,295
Chatpata Pani Puri with Raita,263
Rich Kadhai Paneer Classic,688
Rustic Pakora Fusion,523
Royal Pakora Deluxe,224
Fiery Korma with Chutney,532
Masaledar Idli Traditional,871
Creamy Kadhai Paneer Deluxe,828
Spicy Dosa Deluxe,555
Herbed Pakora Express,750
Homestyle Chole Bhature Classic,253
Homestyle Aloo Gobi Special,494
Fiery Paratha Traditional,459
Fiery Idli with Chutney,480
Zesty Korma Special,289
Herbed Palak Paneer Extra Spicy,311
Traditional Malai Kofta with Chutney,899
Zesty Paneer Tikka with Raita,597
Exquisite Korma with Chutney,804
Authentic Rogan Josh Classic,648
Royal Samosa Street Style,814
Spicy Paratha Street Style,474
Hearty Dal Makhani Street Style,328
Fiery Malai Kofta with Chutney,874
Spicy Palak Paneer Classic,725
Hearty Pulao Fusion,860
Flavourful Palak Paneer Special,778
Chatpata Korma Street Style,515
Exquisite Dosa with Chutney,378
Herbed Idli Street Style,831
Spicy Samosa Extra Spicy,753
Rustic Dosa with Raita,329
Spicy Chole Bhature Extra Spicy,537
Aromatic Pulao Street Style,464
Delectable Malai Kofta Deluxe,855
Fiery Dosa Extra Spicy,451
Herbed Rogan Josh with Raita,280
Royal Pani Puri Classic,331
Delectable Rogan Josh Street Style,896
Spicy Kadhai Paneer Fusion,151
Savory Malai Kofta Special,868
Fiery Samosa Street Style,736
Hearty Dal Makhani Fusion,550
Spicy Aloo Gobi with Raita,731
Homestyle Chole Bhature Deluxe,183
Aromatic Kadhai Paneer Fusion,336
Royal Dal Makhani Street Style,766
Rustic Butter Chicken Traditional,475
Herbed Naan Deluxe,776
Herbed Pulao Special,376
Aromatic Aloo Gobi with Raita,804
Traditional Vada Fusion,729
Savory Idli Fusion,256
Exquisite Kadhai Paneer Classic,658
Creamy Kadhai Paneer with Chutney,294
Royal Paneer Tikka with Raita,489
Masaledar Butter Chicken Traditional,229
Aromatic Palak Paneer Express,393
Royal Paratha Classic,505
Hearty Korma Street Style,477
Savory Kadhai Paneer Extra Spicy,321
Tangy Paneer Tikka Street Style,801
Fiery Aloo Gobi Traditional,240
Zesty Pakora Street Style,875
Rich Pulao Express,836
Traditional Aloo Gobi Classic,804
Masaledar Samosa Classic,896
Authentic Butter Chicken Express,493
Traditional Naan Express,607
Hearty Aloo Gobi Classic,161
Creamy Korma Special,421
Creamy Pani Puri Extra Spicy,364
Fiery Pulao with Chutney,405
Rustic Dal Makhani Special,859
Rustic Butter Chicken Classic,219
Creamy Butter Chicken Special,508
Homestyle Malai Kofta Street Style,412
Royal Vada Street Style,260
Zesty Pani Puri Express,887
Savory Biryani with Raita,151
Herbed Rogan Josh with Chutney,199
Chatpata Malai Kofta Fusion,545
Savory Dal Makhani Deluxe,598
Masaledar Rogan Josh Fusion,900
Homestyle Pani Puri Street Style,579
Exquisite Pani Puri Street Style,320
Homestyle Vada Traditional,573
Rustic Vada with Chutney,654
Herbed Samosa Express,537
Tangy Pani Puri Street Style,509
Delectable Pakora with Raita,709
Delectable Palak Paneer Express,534
Rich Vada Classic,253
Royal Dosa with Chutney,640
Savory Idli with Raita,741
Fiery Malai Kofta Express,816
Aromatic Korma Street Style,853
Tangy Paratha Express,380
Fiery Dal Makhani Express,316
Hearty Paneer Tikka with Chutney,612
Spicy Idli Extra Spicy,225
Spicy Butter Chicken with Chutney,184
Delectable Kadhai Paneer Special,451
Zesty Naan with Chutney,170
Aromatic Naan Extra Spicy,476
Chatpata Dosa Fusion,417
Chatpata Malai Kofta with Raita,257
Fiery Malai Kofta Fusion,225
Zesty Palak Paneer Deluxe,500
Traditional Pani Puri Deluxe,324
Chatpata Vada Traditional,534
Rich Pulao Extra Spicy,314
Zesty Dosa Fusion,899
Spicy Idli Street Style,226
Homestyle Chole Bhature Special,710
Masaledar Chole Bhature with Raita,245
Chatpata Naan Deluxe,496
Fiery Pakora Special,758
Aromatic Dosa Express,778
Chatpata Dal Makhani Extra Spicy,644
Chatpata Pani Puri Classic,871
Hearty Biryani Fusion,181
Masaledar Korma Extra Spicy,591
Homestyle Palak Paneer with Chutney,819
Fiery Palak Paneer with Raita,318
Aromatic Idli Express,771
Exquisite Paneer Tikka Special,594
Exquisite Paratha Classic,310
Aromatic Dal Makhani Classic,204
Fiery Aloo Gobi Deluxe,253
Hearty Kadhai Paneer Deluxe,489
Fiery Kadhai Paneer Special,360
Masaledar Naan Extra Spicy,344
Traditional Paratha Street Style,569
Royal Aloo Gobi Classic,863
Masaledar Paratha Extra Spicy,717
Savory Palak Paneer with Chutney,889
Rich Idli Extra Spicy,897
Zesty Samosa Express,703
Homestyle Pulao Street Style,421
Spicy Vada Classic,826
Chatpata Kadhai Paneer Extra Spicy,438
Aromatic Pakora Classic,454
Delectable Dosa Fusion,393
Masaledar Vada Fusion,248
Spicy Naan Special,200
Herbed Paneer Tikka with Raita,552
Chatpata Pani Puri Extra Spicy,735
Fiery Malai Kofta Special,712
Zesty Malai Kofta Traditional,652
Creamy Pani Puri Express,307
Spicy Biryani Deluxe,205
Rich Dosa Fusion,519
Savory Naan Deluxe,153
Delectable Palak Paneer with Chutney,587
Royal Palak Paneer with Raita,239
Flavourful Samosa Special,451
Hearty Aloo Gobi Express,827
Savory Malai Kofta Classic,790
Traditional Korma Street Style,764
Fiery Paneer Tikka Classic,641
Rustic Pani Puri Traditional,354
Flavourful Dal Makhani Extra Spicy,249
Rich Paratha Traditional,176
Exquisite Chole Bhature Street Style,361
Creamy Idli Fusion,324
Chatpata Biryani Deluxe,803
Rich Paneer Tikka with Chutney,448
Hearty Pani Puri with Chutney,233
Exquisite Naan with Chutney,634
Traditional Pakora Street Style,268
Herbed Dosa Street Style,465
Flavourful Dosa Traditional,557
Traditional Idli Classic,632
Homestyle Kadhai Paneer Special,650
Herbed Paratha Traditional,826
Savory Butter Chicken Traditional,421
Delectable Pakora Classic,243
Royal Idli Deluxe,807
Fiery Vada Fusion,707
Delectable Aloo Gobi Street Style,546
Tangy Malai Kofta Fusion,339
Aromatic Rogan Josh Fusion,529
Tangy Rogan Josh Extra Spicy,540
Rustic Dosa Traditional,528
Masaledar Biryani with Raita,341
Authentic Idli Deluxe,606
Fiery Paneer Tikka Deluxe,195
Royal Korma Deluxe,419
Exquisite Dal Makhani Street Style,600
Homestyle Paratha Classic,626
Fiery Rogan Josh Classic,419
Traditional Aloo Gobi Traditional,381
Masaledar Dal Makhani Express,425
Tangy Malai Kofta Extra Spicy,727
Exquisite Pakora Deluxe,213
Aromatic Rogan Josh Street Style,304
Hearty Idli Fusion,863
Delectable Rogan Josh Fusion,833
Rich Pakora with Chutney,249
Rich Biryani Deluxe,237
Exquisite Malai Kofta with Raita,834
Rich Rogan Josh Express,502
Hearty Dosa Fusion,704
Royal Vada Traditional,573
Fiery Vada Classic,753
Hearty Dal Makhani Deluxe,382
Royal Biryani with Chutney,716
Delectable Naan Fusion,212
Spicy Butter Chicken Classic,546
Masaledar Aloo Gobi Special,685
Savory Pani Puri Express,578
Tangy Pulao Street Style,698
Royal Naan Deluxe,853
Royal Korma Classic,636
Fiery Pulao Extra Spicy,736
Rich Dosa Street Style,391
Flavourful Vada Deluxe,637
Traditional Palak Paneer Extra Spicy,456
Spicy Paneer Tikka Fusion,230
Zesty Pakora Special,554
Savory Aloo Gobi Extra Spicy,881
Rustic Korma with Chutney,185
Herbed Biryani Extra Spicy,664
Authentic Kadhai Paneer Street Style,734
Rich Dosa Special,679
Aromatic Pakora Express,735
Aromatic Naan Express,843
Rich Kadhai Paneer Deluxe,785
Spicy Vada Traditional,300
Aromatic Palak Paneer Special,273
Fiery Rogan Josh Traditional,609
Herbed Korma with Raita,327
Homestyle Pulao Express,321
Zesty Dosa with Raita,366
Spicy Pulao Traditional,347
Fiery Paneer Tikka Traditional,279
Hearty Palak Paneer Express,193
Spicy Pani Puri Extra Spicy,583
Royal Dal Makhani Classic,230
Savory Rogan Josh Deluxe,849
Fiery Rogan Josh Fusion,595
Delectable Malai Kofta Classic,356
Homestyle Palak Paneer Street Style,792
Aromatic Rogan Josh with Chutney,301
Traditional Vada Street Style,759
Zesty Aloo Gobi with Chutney,414
Chatpata Korma Deluxe,477
Hearty Dosa Extra Spicy,894
Traditional Dal Makhani Extra Spicy,218
Traditional Malai Kofta Street Style,239
Savory Pani Puri Special,547
Delectable Naan Street Style,719
Creamy Malai Kofta Fusion,556
Chatpata Rogan Josh Express,715
Royal Kadhai Paneer Street Style,483
Royal Kadhai Paneer Deluxe,432
Exquisite Korma Deluxe,682
Delectable Paneer Tikka with Raita,619
Creamy Butter Chicken Deluxe,162
Masaledar Malai Kofta with Chutney,867
Tangy Malai Kofta Classic,788
Homestyle Korma Special,751
Tangy Aloo Gobi Fusion,685
Savory Chole Bhature Fusion,579
Flavourful Chole Bhature Special,265
Flavourful Rogan Josh Deluxe,574
Rich Korma Fusion,303
Herbed Chole Bhature Traditional,301
Creamy Biryani Fusion,730
Delectable Dal Makhani Classic,752
Homestyle Dosa Fusion,746
Hearty Rogan Josh Express,252
Chatpata Malai Kofta Special,258
Exquisite Aloo Gobi with Raita,726
Savory Kadhai Paneer Fusion,253
Masaledar Korma Classic,442
Zesty Paratha Classic,698
Traditional Dosa Classic,502
Rich Vada with Raita,570
Rustic Kadhai Paneer with Chutney,420
Zesty Dosa Express,542
Rich Dosa with Raita,820
Flavourful Pulao Express,647
Herbed Biryani Fusion,735
Creamy Paratha Special,773
Spicy Chole Bhature Classic,634
Homestyle Naan Extra Spicy,188
Delectable Pulao with Raita,326
Masaledar Samosa Fusion,432
Aromatic Naan with Chutney,562
Delectable Pulao Deluxe,297
Traditional Pani Puri Express,783
Spicy Dosa Special,773
Traditional Naan with Chutney,847
Flavourful Paneer Tikka Classic,860
Homestyle Butter Chicken Special,561
Aromatic Paneer Tikka Fusion,189
Flavourful Dosa Classic,555
Exquisite Aloo Gobi Deluxe,489
Hearty Pulao Extra Spicy,857
Herbed Paratha Classic,393
Royal Samosa Classic,200
Creamy Vada Fusion,636
Masaledar Chole Bhature Classic,425
Tangy Paneer Tikka Special,531
Authentic Naan with Chutney,170
Fiery Pani Puri with Raita,495
Rustic Samosa Classic,460
Traditional Malai Kofta Deluxe,468
Tangy Palak Paneer Deluxe,437
Tangy Naan Express,653
Exquisite Palak Paneer Extra Spicy,862
Tangy Kadhai Paneer Express,851
Savory Malai Kofta with Raita,250
Creamy Korma with Chutney,383
Delectable Paratha with Chutney,287
Homestyle Paneer Tikka Deluxe,457
Rustic Pani Puri Special,603
Fiery Korma Extra Spicy,478
Royal Pani Puri with Raita,425
Herbed Idli Express,896
Exquisite Malai Kofta Special,576
Creamy Kadhai Paneer Express,769
Herbed Dal Makhani with Raita,811
Zesty Dal Makhani with Raita,241
Delectable Dal Makhani Deluxe,342
Hearty Dosa Traditional,602
Zesty Chole Bhature Fusion,366
Royal Chole Bhature Street Style,566
Traditional Aloo Gobi Extra Spicy,646
Rich Palak Paneer Extra Spicy,678
Delectable Dal Makhani Express,532
Spicy Kadhai Paneer Express,207
Aromatic Korma Traditional,677
Homestyle Pulao Fusion,312
Authentic Vada Traditional,217
Tangy Pani Puri Fusion,468
Rustic Dal Makhani Traditional,876
Rich Dosa Express,668
Hearty Butter Chicken Fusion,563
Traditional Pani Puri Fusion,288
Rich Kadhai Paneer with Chutney,686
Hearty Paneer Tikka with Raita,732
Rich Rogan Josh with Chutney,179
Masaledar Pulao Express,327
Royal Dal Makhani Fusion,347
Savory Pakora Traditional,355
Traditional Kadhai Paneer Street Style,209
Zesty Pulao Special,405
Tangy Kadhai Paneer Classic,183
Creamy Palak Paneer Fusion,617
Creamy Pani Puri Street Style,201
Masaledar Paneer Tikka Classic,519
Fiery Rogan Josh with Raita,871
Spicy Pulao with Raita,353
Zesty Biryani Street Style,430
Hearty Korma Traditional,527
Spicy Korma Express,625
Traditional Paratha Fusion,667
Traditional Dosa Express,556
Spicy Rogan Josh Deluxe,800
Herbed Dosa Traditional,276
Fiery Korma with Raita,847
Flavourful Naan Fusion,181
Tangy Paratha with Raita,397
Rustic Dosa Classic,531
Delectable Pulao Special,650
Rustic Pakora Special,758
Herbed Butter Chicken with Chutney,606
Creamy Malai Kofta Street Style,331
Authentic Pani Puri with Chutney,635
Aromatic Pani Puri Fusion,750
Tangy Rogan Josh Deluxe,714
Fiery Kadhai Paneer Deluxe,508
Creamy Dal Makhani Fusion,502
Tangy Paneer Tikka Traditional,317
Aromatic Pakora Fusion,414
Aromatic Dal Makhani with Chutney,855
Royal Malai Kofta Deluxe,242
Aromatic Paratha Classic,441
Hearty Butter Chicken Street Style,178
Rich Idli Express,545
Exquisite Paneer Tikka Traditional,200
Masaledar Naan Express,316
Flavourful Pakora Deluxe,735
Rustic Paratha Special,369
Chatpata Chole Bhature Classic,376
Flavourful Vada with Chutney,812
Flavourful Paneer Tikka Deluxe,380
Rich Biryani Special,843
Masaledar Pani Puri Fusion,361
Rustic Vada with Raita,425
Fiery Vada with Chutney,817
Flavourful Paratha Special,569
Exquisite Chole Bhature with Chutney,675
Flavourful Palak Paneer Traditional,170
Chatpata Naan Express,848
Flavourful Butter Chicken Traditional,159
Flavourful Kadhai Paneer Traditional,635
Rich Vada with Chutney,285
Royal Pani Puri Special,812
Flavourful Pakora Express,327
Savory Aloo Gobi with Chutney,765
Tangy Dal Makhani Traditional,158
Traditional Pani Puri Special,379
Authentic Palak Paneer Express,408
Fiery Pakora Extra Spicy,772
Royal Malai Kofta Classic,462
Zesty Paneer Tikka Special,879
Fiery Aloo Gobi Special,876
Creamy Biryani Express,808
Creamy Rogan Josh Classic,431
Royal Palak Paneer with Chutney,583
Chatpata Dosa Traditional,535
Rustic Chole Bhature Deluxe,507
Exquisite Butter Chicken Deluxe,620
Flavourful Vada Special,408
Rustic Naan Traditional,373
Savory Paneer Tikka with Chutney,627
Rustic Naan with Chutney,459
Hearty Paratha Fusion,843
Delectable Malai Kofta Extra Spicy,683
Royal Aloo Gobi Street Style,788
Aromatic Chole Bhature Express,556
Flavourful Kadhai Paneer Express,748
Hearty Pakora Traditional,254
Royal Pani Puri Fusion,157
Tangy Malai Kofta Special,673
Tangy Korma Express,828
Masaledar Dal Makhani Extra Spicy,533
Spicy Pulao Extra Spicy,724
Royal Naan Express,812
Authentic Malai Kofta with Raita,758
Savory Dosa Extra Spicy,773
Rustic Pakora Express,439
Delectable Aloo Gobi with Raita,455
Rich Aloo Gobi Extra Spicy,850
Delectable Korma with Raita,260
Traditional Butter Chicken Fusion,643
Flavourful Rogan Josh Extra Spicy,215
Rich Vada Express,494
Aromatic Biryani Classic,433
Rustic Chole Bhature Fusion,805
Savory Biryani Deluxe,482
Homestyle Dal Makhani Special,433
Traditional Korma with Raita,417
Tangy Dosa Street Style,821
Aromatic Paratha with Raita,878
Masaledar Paratha Express,817
Herbed Biryani Deluxe,455
Savory Dal Makhani Special,342
Zesty Malai Kofta Fusion,303
Chatpata Kadhai Paneer with Raita,679
Flavourful Paneer Tikka Extra Spicy,396
Hearty Paratha with Raita,208
Zesty Pulao Street Style,764
Hearty Aloo Gobi Extra Spicy,563
Chatpata Dal Makhani Classic,826
Creamy Pulao Street Style,477
Delectable Palak Paneer Deluxe,847
Hearty Dal Makhani Classic,293
Spicy Vada Extra Spicy,888
Fiery Chole Bhature Traditional,176
Spicy Aloo Gobi Deluxe,821
Tangy Pani Puri with Chutney,659
Authentic Chole Bhature Extra Spicy,452
Rustic Dal Makhani with Raita,415
Fiery Butter Chicken Extra Spicy,578
Exquisite Pani Puri with Chutney,564
Fiery Malai Kofta Extra Spicy,547
Flavourful Palak Paneer Fusion,186
Aromatic Kadhai Paneer with Chutney,747
Spicy Idli Fusion,875
Hearty Samosa Traditional,735
Authentic Aloo Gobi Street Style,344
Chatpata Pakora Fusion,501
Fiery Pulao Fusion,893
Savory Samosa Deluxe,880
Chatpata Palak Paneer Special,377
Masaledar Idli Special,852
Royal Kadhai Paneer Traditional,697
Rustic Biryani with Chutney,803
Rich Samosa Special,637
Fiery Naan Express,837
Creamy Rogan Josh Deluxe,517
Flavourful Paratha Classic,669
Flavourful Samosa with Chutney,457
Authentic Pani Puri Traditional,324
Tangy Vada Fusion,823
Rustic Paratha Fusion,721
Zesty Palak Paneer Special,335
Aromatic Malai Kofta Street Style,450
Homestyle Paratha Special,249
Herbed Dosa with Chutney,632
Traditional Aloo Gobi Fusion,281
Herbed Kadhai Paneer Traditional,414
Zesty Pakora Deluxe,892
Fiery Pulao with Raita,722
Royal Aloo Gobi Fusion,337
Spicy Dosa Fusion,846
Homestyle Dal Makhani with Raita,493
Hearty Butter Chicken with Raita,820
Zesty Paratha with Raita,241
Exquisite Chole Bhature Deluxe,377
Tangy Biryani with Raita,513
Royal Dosa Classic,378
Spicy Korma Street Style,464
Traditional Dosa Special,580
Masaledar Paneer Tikka Extra Spicy,489
Rich Naan Extra Spicy,530
Masaledar Chole Bhature Special,416
Fiery Dal Makhani with Raita,749
Exquisite Pakora Special,451
Herbed Pulao Street Style,624
Rich Dosa Traditional,270
Authentic Dal Makhani Classic,631
Fiery Vada Deluxe,204
Authentic Butter Chicken Fusion,799
Chatpata Paneer Tikka Special,747
Royal Malai Kofta Street Style,744
Tangy Rogan Josh Special,785
Masaledar Aloo Gobi Street Style,222
Zesty Pulao Traditional,633
Royal Dosa with Raita,349
Fiery Pani Puri Extra Spicy,662
Authentic Vada Fusion,272
Zesty Samosa Deluxe,847
Spicy Dal Makhani Express,540
Homestyle Dal Makhani Classic,692
Hearty Paratha Classic,455
Herbed Palak Paneer Traditional,573
Tangy Pulao Classic,205
Homestyle Idli Special,304
Masaledar Butter Chicken Extra Spicy,290
Chatpata Biryani Street Style,355
Exquisite Kadhai Paneer Deluxe,500
Tangy Pulao Deluxe,569
Exquisite Pakora with Chutney,733
Herbed Chole Bhature Express,618
Rustic Paneer Tikka Extra Spicy,296
Royal Butter Chicken Deluxe,473
Aromatic Kadhai Paneer Traditional,882
Royal Aloo Gobi with Raita,334
Homestyle Pani Puri Extra Spicy,232
Masaledar Paneer Tikka Deluxe,649
Authentic Pakora Special,490
Herbed Palak Paneer with Raita,796
Exquisite Pulao Traditional,331
Fiery Butter Chicken Special,470
Royal Palak Paneer Deluxe,799
Tangy Chole Bhature Fusion,209
Chatpata Malai Kofta Traditional,154
Delectable Rogan Josh Extra Spicy,612
Rustic Pulao with Chutney,430
Rustic Butter Chicken with Raita,364
Delectable Pani Puri Express,322
Traditional Korma with Chutney,740
Savory Vada Extra Spicy,312
Hearty Dal Makhani with Chutney,651
Delectable Idli Express,240
Creamy Butter Chicken Extra Spicy,282
Herbed Biryani Special,779
Masaledar Chole Bhature Fusion,594
Rustic Naan Special,798
Tangy Butter Chicken Extra Spicy,589
Spicy Pulao Classic,563
Aromatic Pani Puri Deluxe,589
Exquisite Biryani Classic,638
Herbed Samosa Special,542
Homestyle Dal Makhani Deluxe,154
Masaledar Aloo Gobi Deluxe,188
Herbed Pulao with Raita,696
Masaledar Dal Makhani Deluxe,354
Homestyle Pani Puri with Raita,898
Fiery Pulao Express,532
Hearty Pulao Express,164
Homestyle Malai Kofta with Chutney,479
Fiery Pani Puri Classic,693
Homestyle Biryani Deluxe,345
Authentic Malai Kofta Deluxe,168
Authentic Butter Chicken with Chutney,842
Traditional Palak Paneer Fusion,154
Fiery Rogan Josh Deluxe,791
Fiery Kadhai Paneer with Chutney,404
Exquisite Idli Classic,381
Savory Pani Puri Fusion,860
Rich Malai Kofta Deluxe,502
Spicy Pakora Special,469
Hearty Pani Puri Special,282
Creamy Butter Chicken Express,255
Herbed Idli Deluxe,542
Fiery Samosa Traditional,665
Savory Pani Puri Traditional,752
Hearty Palak Paneer Traditional,463
Masaledar Malai Kofta Deluxe,321
Homestyle Pakora Special,216
Delectable Vada Special,196
Chatpata Paratha Express,455
Spicy Dal Makhani Extra Spicy,447
Fiery Chole Bhature Classic,616
Hearty Samosa with Chutney,895
Creamy Chole Bhature Fusion,682
Hearty Paratha Deluxe,760
Savory Chole Bhature Extra Spicy,686
Masaledar Chole Bhature Deluxe,495
Spicy Biryani Extra Spicy,594
Delectable Pulao with Chutney,853
Masaledar Biryani Fusion,287
Chatpata Chole Bhature Street Style,500
